@relation NewCSV

@attribute joy numeric
@attribute fear numeric
@attribute disgust numeric
@attribute sadness numeric
@attribute anger numeric
@attribute surprise numeric
@attribute contempt numeric
@attribute Calm numeric
@attribute Angered numeric
@attribute Joyful numeric
@attribute Sorrow numeric
@attribute Performance {Low,High}

@data
99.9306,0.1755,95.6427,0.0246,0.0045,96.688,0.1948,18,0,31,0,Low
99.9145,0.0098,0.5847,0.1458,0.0591,13.0183,0.941,30,16,3,0,Low
99.545,4.9741,43.3708,0.0194,0.0077,93.9759,0.3277,23,6,6,13,Low
0,0,0,0,0,0,0,36,1,0,11,Low
0,0,0,0,0,0,0,30,0,8,10,Low
0,0,0,0,0,0,0,47,0,2,0,Low
0,0,0,0,0,0,0,34,15,0,0,Low
0,0,0,0,0,0,0,5,13,30,0,Low
0,0,0,0,0,0,0,40,0,3,5,Low
0,0,0,0,0,0,0,40,0,0,9,Low
0.1577,0.0052,21.129,0.0245,0.0048,0.2213,0.1935,8,35,6,0,Low
0,0,0,0,0,0,0,32,0,17,0,Low
0,0,0,0,0,0,0,25,17,7,0,Low
0.0059,0.0137,1.1601,0.0245,0.0043,0.6993,0.2255,43,0,6,0,Low
0.0019,0.089,3.0666,0.0316,0.0043,21.0021,0.2363,18,0,31,0,Low
99.9264,0.1063,0.6581,0.0237,0.0044,25.5567,0.2384,16,0,18,15,Low
4.6116,0.0402,14.8086,0.0238,0.0074,3.8161,0.2282,46,0,0,3,Low
0.0022,0.1025,2.6111,0.0228,0.0171,22.3285,0.411,25,0,19,5,Low
0.0021,0.0062,0.8051,0.0408,0.0075,0.2607,0.3328,42,0,2,5,Low
0.0021,0.0882,5.6061,0.0307,0.008,19.8289,0.5886,39,4,4,2,Low
0.0022,0.0988,14.9164,0.0243,0.0067,23.5617,0.2635,42,0,7,0,Low
0.0022,0.0811,2.1979,0.0246,0.0051,9.9057,0.797,34,0,13,2,Low
0.002,1.6348,23.8272,0.023,0.0041,80.7454,0.2236,10,4,34,0,Low
0.0022,0.6512,17.3704,0.0227,0.0047,52.9839,0.2258,28,0,1,19,Low
0.0018,0.006,0.4259,0.0284,0.0133,0.2534,0.6798,6,0,9,34,Low
89.5984,0.0347,15.7573,0.0233,0.0044,1.8573,98.687,34,0,6,8,Low
0.0037,1.6096,2.5284,0.0209,0.0092,80.7993,1.6577,41,0,0,8,Low
0.004,0.0385,11.0947,0.0234,0.0087,2.9241,8.1874,32,0,0,17,Low
0.002,0.0456,86.079,0.0652,0.3962,5.9902,92.8734,28,0,0,21,Low
0.002,0.043,4.5814,0.0218,0.0418,5.6653,1.2014,15,0,0,34,Low
0,0,0,0,0,0,0,0,0,31,18,Low
0,0,0,0,0,0,0,46,3,0,0,Low
0,0,0,0,0,0,0,10,0,39,0,Low
0,0,0,0,0,0,0,39,0,0,10,Low
0,0,0,0,0,0,0,0,0,0,0,High
