joy,fear,disgust,sadness,anger,surprise,contempt,Calm,Angered,Joyful,Sorrow,Performance
99.930600,0.175500,95.642700,0.024600,0.004500,96.688000,0.194800,18.000000,0.000000,31.000000,0.000000,Low
99.914500,0.009800,0.584700,0.145800,0.059100,13.018300,0.941000,30.000000,16.000000,3.000000,0.000000,Low
99.545000,4.974100,43.370800,0.019400,0.007700,93.975900,0.327700,23.000000,6.000000,6.000000,13.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,1.000000,0.000000,11.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,8.000000,10.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.000000,0.000000,2.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,15.000000,0.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,13.000000,30.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,3.000000,5.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,0.000000,9.000000,Low
0.157700,0.005200,21.129000,0.024500,0.004800,0.221300,0.193500,8.000000,35.000000,6.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.000000,0.000000,17.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,17.000000,7.000000,0.000000,Low
0.005900,0.013700,1.160100,0.024500,0.004300,0.699300,0.225500,43.000000,0.000000,6.000000,0.000000,Low
0.001900,0.089000,3.066600,0.031600,0.004300,21.002100,0.236300,18.000000,0.000000,31.000000,0.000000,Low
99.926400,0.106300,0.658100,0.023700,0.004400,25.556700,0.238400,16.000000,0.000000,18.000000,15.000000,Low
4.611600,0.040200,14.808600,0.023800,0.007400,3.816100,0.228200,46.000000,0.000000,0.000000,3.000000,Low
0.002200,0.102500,2.611100,0.022800,0.017100,22.328500,0.411000,25.000000,0.000000,19.000000,5.000000,Low
0.002100,0.006200,0.805100,0.040800,0.007500,0.260700,0.332800,42.000000,0.000000,2.000000,5.000000,Low
0.002100,0.088200,5.606100,0.030700,0.008000,19.828900,0.588600,39.000000,4.000000,4.000000,2.000000,Low
0.002200,0.098800,14.916400,0.024300,0.006700,23.561700,0.263500,42.000000,0.000000,7.000000,0.000000,Low
0.002200,0.081100,2.197900,0.024600,0.005100,9.905700,0.797000,34.000000,0.000000,13.000000,2.000000,Low
0.002000,1.634800,23.827200,0.023000,0.004100,80.745400,0.223600,10.000000,4.000000,34.000000,0.000000,Low
0.002200,0.651200,17.370400,0.022700,0.004700,52.983900,0.225800,28.000000,0.000000,1.000000,19.000000,Low
0.001800,0.006000,0.425900,0.028400,0.013300,0.253400,0.679800,6.000000,0.000000,9.000000,34.000000,Low
89.598400,0.034700,15.757300,0.023300,0.004400,1.857300,98.687000,34.000000,0.000000,6.000000,8.000000,Low
0.003700,1.609600,2.528400,0.020900,0.009200,80.799300,1.657700,41.000000,0.000000,0.000000,8.000000,Low
0.004000,0.038500,11.094700,0.023400,0.008700,2.924100,8.187400,32.000000,0.000000,0.000000,17.000000,Low
0.002000,0.045600,86.079000,0.065200,0.396200,5.990200,92.873400,28.000000,0.000000,0.000000,21.000000,Low
0.002000,0.043000,4.581400,0.021800,0.041800,5.665300,1.201400,15.000000,0.000000,0.000000,34.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.000000,18.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.000000,3.000000,0.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,39.000000,0.000000,Low
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,0.000000,0.000000,10.000000,Low
0,0,0,0,0,0,0,0,0,0,0,High
